iter	Passed	Remaining
458	810	955
459	812	953
460	814	951
461	816	950
462	817	948
463	819	946
464	820	944
465	823	943
466	824	941
467	831	945
468	833	943
469	834	941
470	836	939
471	838	938
472	840	936
473	843	935
474	844	933
475	846	932
476	849	931
477	851	929
478	853	928
479	856	927
480	857	925
481	859	923
482	860	921
483	863	920
484	865	919
485	868	918
486	871	917
487	873	915
488	874	914
489	877	912
490	879	911
491	880	909
492	883	908
493	887	908
494	889	906
495	890	904
496	891	902
497	892	900
498	894	897
499	896	896
500	898	894
501	899	892
502	900	890
503	902	887
504	903	885
505	904	883
506	906	881
507	907	878
508	908	876
509	912	877
510	914	875
511	915	873
512	917	871
513	919	868
514	920	866
515	921	864
516	922	861
517	924	860
518	926	858
519	927	856
520	929	854
521	930	852
522	932	850
523	934	848
524	935	846
525	937	844
526	941	844
527	942	842
528	944	841
529	948	840
530	950	839
531	955	840
532	956	838
533	957	835
534	958	833
535	959	830
536	960	828
537	961	825
538	962	823
539	963	821
540	964	818
541	965	816
542	967	814
543	969	812
544	970	810
545	972	808
546	973	805
547	974	803
548	975	801
549	976	798
550	977	796
551	978	794
552	979	791
553	980	789
554	983	788
555	985	786
556	986	784
557	987	782
558	988	779
559	989	777
560	990	775
561	992	773
562	993	771
563	995	769
564	996	767
565	998	765
566	999	763
567	1000	761
568	1001	758
569	1002	756
570	1004	754
571	1005	752
572	1006	750
573	1007	747
574	1008	745
575	1009	743
576	1011	741
577	1013	739
578	1014	737
579	1015	735
580	1016	732
581	1017	730
582	1019	729
583	1020	726
584	1021	724
585	1022	722
586	1023	720
587	1024	717
588	1026	716
589	1028	714
590	1029	712
591	1030	710
592	1031	707
593	1032	705
594	1033	703
595	1034	701
596	1035	699
597	1036	696
598	1037	694
599	1038	692
600	1040	690
601	1042	688
602	1043	686
603	1044	684
604	1045	682
605	1046	680
606	1048	678
607	1049	676
608	1050	674
609	1051	672
610	1052	669
611	1053	667
612	1055	666
613	1057	664
614	1058	662
615	1061	661
616	1062	659
617	1063	657
618	1064	655
619	1065	653
620	1067	651
621	1068	649
622	1070	648
623	1072	646
624	1073	644
625	1074	641
626	1075	639
627	1076	637
628	1077	635
629	1078	633
630	1079	631
631	1080	629
632	1081	627
633	1083	625
634	1085	623
635	1086	621
636	1087	619
637	1088	617
638	1089	615
639	1091	613
640	1092	611
641	1093	609
642	1094	607
643	1095	605
644	1096	603
645	1098	602
646	1100	600
647	1101	598
648	1102	596
649	1103	594
650	1105	592
651	1106	590
652	1107	588
653	1108	586
654	1109	584
655	1110	582
656	1112	580
657	1113	578
658	1115	577
659	1117	575
660	1118	573
661	1119	571
662	1120	569
663	1121	567
664	1122	565
665	1124	563
666	1125	562
667	1127	560
668	1128	558
669	1129	556
670	1131	554
671	1132	552
672	1133	550
673	1134	548
674	1136	547
675	1137	545
676	1139	543
677	1141	541
678	1142	540
679	1143	538
680	1144	536
681	1145	534
682	1147	532
683	1148	530
684	1149	528
685	1150	526
686	1151	524
687	1153	522
688	1154	521
689	1156	519
690	1157	517
691	1159	516
692	1161	514
693	1163	512
694	1165	511
695	1166	509
696	1167	507
697	1169	506
698	1171	504
699	1172	502
700	1174	500
701	1175	498
702	1177	497
703	1178	495
704	1179	493
705	1180	491
706	1181	489
707	1183	488
708	1185	486
709	1186	484
710	1188	482
711	1189	481
712	1191	479
713	1192	477
714	1194	475
715	1196	474
716	1198	473
717	1200	471
718	1201	469
719	1203	467
720	1204	466
721	1206	464
722	1207	462
723	1208	460
724	1211	459
725	1213	458
726	1215	456
727	1216	454
728	1218	452
729	1219	450
730	1220	449
731	1222	447
732	1223	445
733	1224	443
734	1227	442
735	1228	440
736	1229	438
737	1230	436
738	1231	435
739	1233	433
740	1234	431
741	1235	429
742	1236	427
743	1237	425
744	1239	424
745	1240	422
746	1242	420
747	1243	419
748	1245	417
749	1246	415
750	1247	413
751	1248	411
752	1249	409
753	1250	408
754	1251	406
755	1253	404
756	1255	402
757	1256	401
758	1257	399
759	1258	397
760	1260	395
761	1261	393
762	1262	392
763	1263	390
764	1264	388
765	1266	386
766	1267	385
767	1269	383
768	1270	381
769	1272	380
770	1273	378
771	1274	376
772	1275	374
773	1276	372
774	1277	370
775	1278	369
776	1279	367
777	1280	365
778	1282	363
779	1283	362
780	1285	360
781	1286	358
782	1287	356
783	1288	355
784	1289	353
785	1290	351
786	1291	349
787	1292	347
788	1293	346
789	1295	344
790	1297	342
791	1298	341
792	1300	339
793	1301	337
794	1302	335
795	1303	334
796	1304	332
797	1305	330
798	1306	328
799	1307	326
800	1308	325
801	1309	323
802	1311	321
803	1313	320
804	1314	318
805	1315	316
806	1316	314
807	1317	313
808	1319	311
809	1320	309
810	1321	307
811	1322	306
812	1323	304
813	1324	302
814	1326	301
815	1327	299
816	1329	297
817	1330	295
818	1331	294
819	1332	292
820	1333	290
821	1334	288
822	1335	287
823	1336	285
824	1337	283
825	1338	281
826	1340	280
827	1341	278
828	1343	277
829	1344	275
830	1345	273
831	1346	271
832	1347	270
833	1348	268
834	1349	266
835	1351	265
836	1352	263
837	1353	261
838	1354	260
839	1356	258
840	1358	256
841	1359	255
842	1360	253
843	1361	251
844	1363	250
845	1364	248
846	1365	246
847	1366	244
848	1367	243
849	1368	241
850	1370	239
851	1372	238
852	1373	236
853	1375	235
854	1376	233
855	1377	231
856	1378	230
857	1379	228
858	1380	226
859	1381	224
860	1383	223
861	1385	221
862	1386	220
863	1387	218
864	1388	216
865	1389	215
866	1391	213
867	1392	211
868	1393	210
869	1394	208
870	1395	206
871	1396	204
872	1397	203
873	1399	201
874	1400	200
875	1401	198
876	1402	196
877	1404	195
878	1405	193
879	1406	191
880	1407	190
881	1408	188
882	1409	186
883	1410	185
884	1414	183
885	1415	182
886	1417	180
887	1419	178
888	1420	177
889	1422	175
890	1423	174
891	1424	172
892	1426	170
893	1427	169
894	1429	167
895	1430	165
896	1431	164
897	1432	162
898	1433	161
899	1434	159
900	1436	157
901	1437	156
902	1438	154
903	1439	152
904	1441	151
905	1442	149
906	1443	148
907	1444	146
908	1446	144
909	1447	143
910	1448	141
911	1449	139
912	1450	138
913	1451	136
914	1453	134
915	1454	133
916	1456	131
917	1457	130
918	1458	128
919	1459	126
920	1461	125
921	1462	123
922	1463	122
923	1464	120
924	1465	118
925	1466	117
926	1468	115
927	1470	114
928	1471	112
929	1472	110
930	1473	109
931	1475	107
932	1476	106
933	1477	104
934	1478	102
935	1479	101
936	1480	99
937	1481	97
938	1482	96
939	1484	94
940	1486	93
941	1487	91
942	1488	89
943	1489	88
944	1490	86
945	1491	85
946	1492	83
947	1493	81
948	1494	80
949	1495	78
950	1496	77
951	1499	75
952	1500	74
953	1502	72
954	1503	70
955	1504	69
956	1505	67
957	1506	66
958	1507	64
959	1508	62
960	1509	61
961	1510	59
962	1511	58
963	1513	56
964	1514	54
965	1515	53
966	1517	51
967	1518	50
968	1519	48
969	1520	47
970	1521	45
971	1522	43
972	1524	42
973	1525	40
974	1526	39
975	1528	37
976	1529	36
977	1530	34
978	1531	32
979	1533	31
980	1534	29
981	1535	28
982	1536	26
983	1537	25
984	1538	23
985	1540	21
986	1541	20
987	1543	18
988	1544	17
989	1545	15
990	1546	14
991	1548	12
992	1549	10
993	1550	9
994	1551	7
995	1552	6
996	1553	4
997	1555	3
998	1557	1
999	1558	0
